grid_id,institute,city,state,country,requires_manual_review,alt_grid_id,alt_institute,input_name,input_city,input_state,input_country,wos_institute_name
grid.266842.c,University of Newcastle Australia,Newcastle,New South Wales,Australia,FALSE,NA,NA,UNIVERSITY NEWCASTLE,NEWCASTLE,nan,Australia,UNIV NEWCASTLE
grid.1014.4,Flinders University,Adelaide,South Australia,Australia,FALSE,NA,NA,FLINDERS UNIVERSITY,ADELAIDE,nan,Australia,FLINDERS UNIV
grid.1026.5,University of South Australia,Adelaide,South Australia,Australia,FALSE,NA,NA,UNIVERSITY  SOUTHERN AUSTRALIA,ADELAIDE,nan,Australia,UNIV SO AUSTRALIA
grid.6979.1,Silesian University of Technology,Gliwice,NA,Poland,FALSE,NA,NA,SILESIAN UNIVERSITY TECHNOLOGY,GLIWICE,nan,Poland,SILESIAN UNIV TECHNOL
grid.7459.f,University of Franche-Comté,Besançon,NA,France,FALSE,NA,NA,UNIVERSITY FRANCHE COMTE BESANCON,BESANÇON,nan,France,UNIV FRANCHE COMTE BESANCON
grid.462068.e,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,Besançon,NA,France,FALSE,NA,NA,FEMTO-ST,BESANÇON,nan,France,FEMTO-ST
grid.424460.0,École Nationale Supérieure de Mécanique et des Microtechniques,Besançon,NA,France,FALSE,NA,NA,ENSMM,BESANÇON,nan,France,ENSMM
grid.17063.33,University of Toronto,Toronto,Ontario,Canada,FALSE,NA,NA,UNIVERSITY TORONTO,TORONTO,nan,Canada,UNIV TORONTO
grid.5924.a,University of Navarra,Pamplona,NA,Spain,FALSE,NA,NA,UNIVERSITY NAVARRA,PAMPLONA,nan,Spain,UNIV NAVARRA
grid.7159.a,University of Alcalá,Alcalá de Henares,NA,Spain,FALSE,NA,NA,UNIVERSITY ALCALA DE HENARES,ALCALÁ DE HENARES,nan,Spain,UNIV ALCALA DE HENARES
grid.10689.36,National University of Colombia,Bogotá,NA,Colombia,FALSE,NA,NA,NATIONAL UNIVERSITY COLOMBIA,BOGOTA,nan,Colombia,NATL UNIV COLOMBIA
grid.412891.7,Universidad de Guanajuato,Guanajuato City,NA,Mexico,FALSE,NA,NA,UNIVERSITY GUANAJUATO,GUANAJUATO,nan,Mexico,UNIV GUANAJUATO
grid.418275.d,Instituto Politécnico Nacional,Mexico City,NA,Mexico,FALSE,NA,NA,CINVESTAV IPN,MEXICO CITY,nan,Mexico,CINVESTAV IPN
grid.5477.1,Utrecht University,Utrecht,Utrecht,Netherlands,FALSE,NA,NA,UNIVERSITY UTRECHT,UTRECHT,nan,Netherlands,UNIV UTRECHT
grid.5477.1,Utrecht University,Utrecht,Utrecht,Netherlands,FALSE,NA,NA,UTRECHT UNIVERSITY MEDICINE CENTER,UTRECHT,nan,Netherlands,UTRECHT UNIV MED CTR
grid.452600.5,Isala,Zwolle,NA,Netherlands,FALSE,NA,NA,ISALA CLIN,ZWOLLE,nan,Netherlands,ISALA CLIN
NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITAL TRIESTE,TRIESTE,nan,Italy,UNIV HOSP TRIESTE
grid.5133.4,University of Trieste,Trieste,NA,Italy,FALSE,NA,NA,UNIVERSITY TRIESTE,TRIESTE,nan,Italy,UNIV TRIESTE
grid.5288.7,Oregon Health & Science University,Portland,Oregon,United States,FALSE,NA,NA,OREGON HEALTH SCIENCE UNIVERSITY,PORTLAND,nan,United States,OREGON HLTH SCI UNIV
grid.262075.4,Portland State University,Portland,Oregon,United States,FALSE,NA,NA,PORTLAND STATE UNIVERSITY,PORTLAND,nan,United States,PORTLAND STATE UNIV
