institutes,geo.cities,geo.states,geo.countries,input.name,input.city,input.state,input.country
"[{'institute': {'id': 'grid.27255.37', 'name': 'Shandong University', 'city': 'Jinan', 'state': 'Shandong', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1805753, 'name': 'Jinan'}]","[{'geonames_id': 1796328, 'name': 'Shandong', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Shandong University,nan,nan,China
"[{'institute': {'id': 'grid.24696.3f', 'name': 'Capital Medical University', 'city': 'Beijing', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1816670, 'name': 'Beijing'}]","[{'geonames_id': 2038349, 'name': 'Beijing', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Capital Medical University,nan,nan,China
"[{'institute': {'id': 'grid.440661.1', 'name': ""Chang'an University"", 'city': ""Xi'an"", 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1790630, 'name': ""Xi'an""}]","[{'geonames_id': 1796480, 'name': 'Shaanxi', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Chang'an University,nan,nan,China
"[{'institute': {'id': 'grid.451285.f', 'name': 'Government of the United States of America', 'city': 'Washington D.C.', 'state': 'District of Columbia', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4140963, 'name': 'Washington, D.C.'}]","[{'geonames_id': 4138106, 'name': 'Washington, D.C.', 'code': 'US-DC'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",United States Government,nan,nan,United States
"[{'institute': {'id': 'grid.412645.0', 'name': 'Tianjin Medical University General Hospital', 'city': 'Tianjin', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1792947, 'name': 'Tianjin'}]","[{'geonames_id': 1792943, 'name': 'Tianjin', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Tianjin Medical University General Hospital,nan,nan,China
"[{'institute': {'id': 'grid.410737.6', 'name': 'Guangzhou Medical University', 'city': 'Guangzhou', 'state': 'Guangdong', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1809858, 'name': 'Guangzhou'}]","[{'geonames_id': 1809935, 'name': 'Guangdong', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Guangzhou Medical University,nan,nan,China
"[{'institute': {'id': 'grid.6363.0', 'name': 'Charité - University Medicine Berlin', 'city': 'Berlin', 'state': None, 'country': 'Germany'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2950159, 'name': 'Berlin'}]","[{'geonames_id': 2950157, 'name': 'Berlin', 'code': None}]","[{'geonames_id': 2921044, 'name': 'Germany', 'code': 'DE'}]",Charité – Universitätsmedizin Berlin,nan,nan,Germany
"[{'institute': {'id': 'grid.449859.d', 'name': 'University System of Ohio', 'city': 'Columbus', 'state': 'Ohio', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4509177, 'name': 'Columbus'}]","[{'geonames_id': 5165418, 'name': 'Ohio', 'code': 'US-OH'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",University System of Ohio,nan,nan,United States
"[{'institute': {'id': 'grid.470117.4', 'name': 'Pushchino State Institute of Natural Sciences', 'city': 'Pushchino', 'state': None, 'country': 'Russia'}, 'metadata': {'requires_manual_review': True}}, {'institute': {'id': 'grid.415877.8', 'name': 'Siberian Branch of the Russian Academy of Sciences', 'city': 'Novosibirsk', 'state': None, 'country': 'Russia'}, 'metadata': {'requires_manual_review': True}}]","[{'geonames_id': 504042, 'name': 'Pushchino'}, {'geonames_id': 1496747, 'name': 'Novosibirsk'}]","[{'geonames_id': 1496745, 'name': 'Novosibirsk Oblast', 'code': None}, {'geonames_id': 524925, 'name': 'Moscow Oblast', 'code': None}]","[{'geonames_id': 2017370, 'name': 'Russia', 'code': 'RU'}]",Russian Academy of Science,nan,nan,Russia
[],[],[],"[{'geonames_id': 2510769, 'name': 'Spain', 'code': 'ES'}]",Biomedical Research Networking Centres,nan,nan,Spain
