matches,input.affiliation
"[{'institutes': [{'institute': {'id': 'grid.1013.3', 'name': 'University of Sydney', 'city': 'Sydney', 'state': 'New South Wales', 'country': 'Australia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2147714, 'name': 'Sydney'}], 'states': [{'geonames_id': 2155400, 'name': 'New South Wales', 'code': 'AU-NSW'}], 'countries': [{'geonames_id': 2077456, 'name': 'Australia', 'code': 'AU'}]}, 'affiliation_part': 'The University of Sydney'}]",The University of Sydney
"[{'institutes': [{'institute': {'id': 'grid.1008.9', 'name': 'University of Melbourne', 'city': 'Melbourne', 'state': 'Victoria', 'country': 'Australia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2158177, 'name': 'Melbourne'}], 'states': [{'geonames_id': 2145234, 'name': 'Victoria', 'code': 'AU-VIC'}], 'countries': [{'geonames_id': 2077456, 'name': 'Australia', 'code': 'AU'}]}, 'affiliation_part': 'The University of Melbourne'}]",The University of Melbourne
"[{'institutes': [{'institute': {'id': 'grid.26009.3d', 'name': 'Duke University', 'city': 'Durham', 'state': 'North Carolina', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4464368, 'name': 'Durham'}], 'states': [{'geonames_id': 4482348, 'name': 'North Carolina', 'code': 'US-NC'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Duke University'}]",Duke University
"[{'institutes': [{'institute': {'id': 'grid.10784.3a', 'name': 'Chinese University of Hong Kong', 'city': 'Hong Kong', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1819729, 'name': 'Hong Kong'}], 'states': [{'geonames_id': 7533598, 'name': 'Central and Western', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'The Chinese University of Hong Kong (CUHK)'}]",The Chinese University of Hong Kong (CUHK)
"[{'institutes': [{'institute': {'id': 'grid.1005.4', 'name': 'UNSW Sydney', 'city': 'Sydney', 'state': 'New South Wales', 'country': 'Australia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2147714, 'name': 'Sydney'}], 'states': [{'geonames_id': 2155400, 'name': 'New South Wales', 'code': 'AU-NSW'}], 'countries': [{'geonames_id': 2077456, 'name': 'Australia', 'code': 'AU'}]}, 'affiliation_part': 'The University of New South Wales (UNSW)'}]",The University of New South Wales (UNSW)
"[{'institutes': [{'institute': {'id': 'grid.17091.3e', 'name': 'University of British Columbia', 'city': 'Vancouver', 'state': 'British Columbia', 'country': 'Canada'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 6173331, 'name': 'Vancouver'}], 'states': [{'geonames_id': 5909050, 'name': 'British Columbia', 'code': 'CA-BC'}], 'countries': [{'geonames_id': 6251999, 'name': 'Canada', 'code': 'CA'}]}, 'affiliation_part': 'University of British Columbia'}]",University of British Columbia
"[{'institutes': [{'institute': {'id': 'grid.1003.2', 'name': 'University of Queensland', 'city': 'Brisbane', 'state': 'Queensland', 'country': 'Australia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2174003, 'name': 'Brisbane'}], 'states': [{'geonames_id': 2152274, 'name': 'Queensland', 'code': 'AU-QLD'}], 'countries': [{'geonames_id': 2077456, 'name': 'Australia', 'code': 'AU'}]}, 'affiliation_part': 'The University of Queensland (UQ)'}]",The University of Queensland (UQ)
"[{'institutes': [{'institute': {'id': 'grid.16821.3c', 'name': 'Shanghai Jiao Tong University', 'city': 'Shanghai', 'state': 'Shanghai', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1796236, 'name': 'Shanghai'}], 'states': [{'geonames_id': 1796231, 'name': 'Shanghai', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Shanghai Jiao Tong University'}]",Shanghai Jiao Tong University
"[{'institutes': [{'institute': {'id': 'grid.35030.35', 'name': 'City University of Hong Kong', 'city': 'Hong Kong', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1819729, 'name': 'Hong Kong'}], 'states': [{'geonames_id': 7533598, 'name': 'Central and Western', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'City University of Hong Kong'}]",City University of Hong Kong
"[{'institutes': [{'institute': {'id': 'grid.13063.37', 'name': 'London School of Economics and Political Science', 'city': 'London', 'state': None, 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 2643743, 'name': 'London'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'London School of Economics and Political Science (LSE)'}]",London School of Economics and Political Science (LSE)
